Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Come Thru,Summer Walker & Usher,-1.0,67.0,42,15,2020-04-12
After A Few,Travis Denning,9.0,78.0,69,2,2020-04-12
P*$$y Fairy (OTW),Jhene Aiko,-5.0,65.0,40,12,2020-04-12
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",0.0,0.0,71,1,2020-04-12
Myron,Lil Uzi Vert,-9.0,63.0,13,4,2020-04-12
Out West,JACKBOYS Featuring Young Thug,-1.0,72.0,38,13,2020-04-12
Thief In The Night,Rod Wave,0.0,0.0,74,1,2020-04-12
The Other Side,SZA X Justin Timberlake,-5.0,70.0,61,6,2020-04-12
Tycoon,Future,0.0,0.0,76,1,2020-04-12
I Remember,Rod Wave,0.0,0.0,77,1,2020-04-12
The Greatest,Rod Wave,0.0,0.0,78,1,2020-04-12
Underdog,Alicia Keys,-10.0,69.0,69,3,2020-04-12
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",-6.0,74.0,55,5,2020-04-12
Bluebird,Miranda Lambert,0.0,0.0,81,1,2020-04-12
B.I.T.C.H.,Megan Thee Stallion,-6.0,76.0,31,9,2020-04-12
If The World Was Ending,JP Saxe Featuring Julia Michaels,13.0,96.0,83,2,2020-04-12
Ribbon In The Sky,Rod Wave,0.0,0.0,84,1,2020-04-12
Emotionally Scarred,Lil Baby,-12.0,73.0,31,6,2020-04-12
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",0.0,86.0,81,4,2020-04-12
That Way,Lil Uzi Vert,-8.0,79.0,20,6,2020-04-12
The Man,Taylor Swift,2.0,90.0,23,7,2020-04-12
Last Time I Say Sorry,Kane Brown & John Legend,4.0,93.0,89,2,2020-04-12
After Hours,The Weeknd,-29.0,61.0,20,7,2020-04-12
Ridin' Roads,Dustin Lynch,-3.0,88.0,47,19,2020-04-12
P2,Lil Uzi Vert,-17.0,75.0,11,5,2020-04-12
Here And Now,Kenny Chesney,0.0,0.0,93,1,2020-04-12
Yummy,Justin Bieber,-10.0,84.0,2,14,2020-04-12
Thug Life,Rod Wave,0.0,0.0,95,1,2020-04-12
Heatin Up,Lil Baby & Gunna,-1.0,95.0,18,6,2020-04-12
July,Noah Cyrus & Leon Bridges,3.0,100.0,91,6,2020-04-12
What A Man Gotta Do,Jonas Brothers,-4.0,94.0,16,12,2020-04-12
No Weakness,Rod Wave,0.0,0.0,99,1,2020-04-12
Grace,Lil Baby & 42 Dugg,-18.0,82.0,48,6,2020-04-12
